"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.016527470E2,4.078876333E1,1.675171667E1,4.951676698E2,6.127253532E0,1.845899963E2,1.700000048E0,2.289999962E1
1.026527470E2,4.078870833E1,1.675171500E1,4.950677855E2,6.115414619E0,1.852700043E2,2.099999905E0,2.400000000E1
1.036527470E2,4.078865000E1,1.675170333E1,4.949678763E2,5.967689514E0,1.890000000E2,2.000000000E0,2.150000000E1
1.046527470E2,4.078859333E1,1.675169333E1,4.943679688E2,6.170489788E0,1.898899994E2,1.899999976E0,2.139999962E1
1.056527470E2,4.078853833E1,1.675167333E1,4.940680255E2,6.084016800E0,1.957400055E2,1.799999952E0,1.770000076E1
1.066527470E2,4.078848333E1,1.675165833E1,4.929680983E2,6.106149673E0,1.955800018E2,2.000000000E0,1.760000038E1
1.076527470E2,4.078843167E1,1.675163500E1,4.925681369E2,6.361452103E0,1.973500061E2,1.899999976E0,1.810000038E1
1.086527470E2,4.078837500E1,1.675160667E1,4.925681704E2,6.528222084E0,1.998600006E2,1.799999952E0,1.839999962E1
1.096527470E2,4.078831833E1,1.675157667E1,4.926681986E2,6.786612511E0,1.986699982E2,1.799999952E0,1.910000038E1
1.106527470E2,4.078825500E1,1.675155167E1,4.921682575E2,6.654843807E0,1.971199951E2,2.000000000E0,1.910000038E1
1.116527470E2,4.078819500E1,1.675152167E1,4.920682930E2,6.678006172E0,1.975399933E2,2.000000000E0,1.939999962E1
1.126527470E2,4.078812500E1,1.675148667E1,4.923683344E2,6.991986752E0,1.980800018E2,2.000000000E0,2.020000076E1
1.136527470E2,4.078806333E1,1.675145833E1,4.918683789E2,6.956470966E0,1.982899933E2,1.899999976E0,2.000000000E1
1.146527470E2,4.078800333E1,1.675143333E1,4.916684305E2,6.872056484E0,1.991000061E2,1.799999952E0,1.970000076E1
1.156527470E2,4.078794000E1,1.675140333E1,4.914684734E2,6.874115467E0,2.018999939E2,1.700000048E0,1.950000000E1
1.166527470E2,4.078787667E1,1.675137500E1,4.911685216E2,6.978603840E0,2.033200073E2,1.899999976E0,1.850000000E1
1.176527470E2,4.078780667E1,1.675134167E1,4.914685684E2,6.985809803E0,2.003999939E2,2.000000000E0,1.889999962E1
1.186527470E2,4.078773833E1,1.675131333E1,4.916686276E2,7.016178608E0,2.007500000E2,1.899999976E0,1.850000000E1
1.196527470E2,4.078767833E1,1.675128833E1,4.919686792E2,7.219493866E0,1.979199982E2,1.799999952E0,1.839999962E1
1.206527470E2,4.078761167E1,1.675125167E1,4.923687079E2,7.793409348E0,1.996199951E2,1.899999976E0,1.800000000E1
1.216527470E2,4.078754833E1,1.675120667E1,4.924687025E2,7.810394764E0,1.985000000E2,1.899999976E0,1.870000076E1
1.226527470E2,4.078747500E1,1.675118500E1,4.927687942E2,8.164524078E0,2.010200043E2,1.899999976E0,1.829999924E1
1.236527470E2,4.078740500E1,1.675115833E1,4.931688625E2,8.189230919E0,2.001000061E2,1.899999976E0,1.850000000E1
1.246527470E2,4.078733500E1,1.675113000E1,4.988689254E2,8.611302376E0,2.022299957E2,1.899999976E0,1.900000000E1
1.256527470E2,4.078725500E1,1.675108833E1,5.012689674E2,9.117274284E0,2.028699951E2,1.899999976E0,1.670000076E1
1.266527470E2,4.078717833E1,1.675104500E1,5.025689967E2,9.250587463E0,2.021600037E2,1.799999952E0,1.589999962E1
1.276527470E2,4.078709833E1,1.675100667E1,5.032690494E2,9.516184807E0,2.016900024E2,1.799999952E0,1.589999962E1
1.286527470E2,4.078701500E1,1.675095833E1,5.036690773E2,9.790531158E0,1.992500000E2,1.899999976E0,1.560000038E1
1.296527470E2,4.078693667E1,1.675091500E1,5.039691103E2,9.529052734E0,1.989700012E2,2.000000000E0,1.569999981E1
1.306527470E2,4.078685833E1,1.675087833E1,5.042691647E2,9.720529556E0,1.990000000E2,2.000000000E0,1.600000000E1
1.316527470E2,4.078677833E1,1.675084500E1,5.042692336E2,9.493536949E0,1.980399933E2,1.799999952E0,1.670000076E1
1.326527470E2,4.078669667E1,1.675080500E1,5.042692846E2,9.406033516E0,1.989299927E2,1.899999976E0,1.760000038E1
1.336527470E2,4.078661167E1,1.675076167E1,5.043693323E2,9.433829308E0,1.993099976E2,1.899999976E0,1.789999962E1
1.346527470E2,4.078652500E1,1.675072500E1,5.047694051E2,9.464197159E0,1.984299927E2,1.899999976E0,1.720000076E1
1.356527470E2,4.078644333E1,1.675069000E1,5.045694723E2,9.500227928E0,1.994400024E2,1.899999976E0,1.710000038E1
1.366527470E2,4.078636500E1,1.675065167E1,5.042695214E2,9.504345894E0,1.987400055E2,2.000000000E0,1.660000038E1
1.376527470E2,4.078628500E1,1.675061000E1,5.041695634E2,9.705087662E0,1.982100067E2,2.000000000E0,1.689999962E1
1.386527470E2,4.078620167E1,1.675057167E1,5.041696235E2,9.735456467E0,1.993099976E2,2.000000000E0,1.700000000E1
1.396527470E2,4.078611333E1,1.675053667E1,5.042697054E2,1.013488102E1,1.995800018E2,2.000000000E0,1.760000038E1
1.406527470E2,4.078602833E1,1.675049500E1,5.044697585E2,1.014414597E1,2.010500031E2,2.000000000E0,1.810000038E1
1.416527470E2,4.078594333E1,1.675046000E1,5.045698330E2,1.014877796E1,2.026900024E2,2.000000000E0,1.829999924E1
1.426527470E2,4.078585833E1,1.675041500E1,5.045698753E2,1.013951302E1,2.045399933E2,1.899999976E0,1.839999962E1
1.436527470E2,4.078577667E1,1.675035667E1,5.044698674E2,1.039687443E1,2.056000061E2,1.799999952E0,1.860000038E1
1.446527470E2,4.078569500E1,1.675030167E1,5.034698703E2,1.038246155E1,2.056100006E2,2.000000000E0,1.870000076E1
1.456527470E2,4.078560667E1,1.675025000E1,5.025698985E2,1.063724899E1,2.051900024E2,2.000000000E0,1.850000000E1
1.466527470E2,4.078552000E1,1.675019167E1,5.013699017E2,1.043084621E1,2.062400055E2,2.000000000E0,1.870000076E1
1.476527470E2,4.078543833E1,1.675014000E1,5.001699152E2,1.042055130E1,2.074400024E2,1.899999976E0,1.720000076E1
1.486527470E2,4.078535667E1,1.675007667E1,4.990698913E2,1.020127964E1,2.077899933E2,1.899999976E0,1.689999962E1
1.496527470E2,4.078527167E1,1.675002500E1,4.977699122E2,1.032635689E1,2.081799927E2,1.899999976E0,1.519999981E1
1.506527470E2,4.078518833E1,1.674996333E1,4.973698973E2,1.029084110E1,2.096900024E2,1.899999976E0,1.510000038E1
1.516527470E2,4.078511167E1,1.674989667E1,4.966698516E2,1.012613010E1,2.103300018E2,1.799999952E0,1.439999962E1
1.526527470E2,4.078503333E1,1.674984167E1,4.963698472E2,9.942889214E0,2.112200012E2,1.799999952E0,1.389999962E1
1.536527470E2,4.078495333E1,1.674978333E1,4.961698357E2,9.742147446E0,2.112599945E2,1.799999952E0,1.369999981E1
