"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.346814928E2,4.079255833E1,1.675743000E1,4.602777222E2,9.480154037E0,7.208000183E1,2.400000095E0,1.739999962E1
1.356814928E2,4.079259333E1,1.675753833E1,4.598779943E2,9.680895805E0,7.097000122E1,2.400000095E0,1.800000000E1
1.366814928E2,4.079262167E1,1.675764000E1,4.590782596E2,9.325222969E0,7.200000000E1,2.299999952E0,1.729999924E1
1.376814928E2,4.079264667E1,1.675774833E1,4.584785536E2,8.971093178E0,7.138999939E1,2.299999952E0,1.760000038E1
1.386814928E2,4.079267167E1,1.675785500E1,4.594788423E2,7.973047256E0,7.183999634E1,2.500000000E0,1.670000076E1
1.396814928E2,4.079269333E1,1.675794833E1,4.606790954E2,6.937426090E0,7.073999786E1,2.500000000E0,1.650000000E1
1.406814928E2,4.079271833E1,1.675803333E1,4.621793143E2,6.712492466E0,6.359000015E1,2.500000000E0,1.629999924E1
1.416814928E2,4.079276667E1,1.675811667E1,4.651794765E2,6.859703064E0,5.609999847E1,2.400000095E0,1.650000000E1
1.426814928E2,4.079281500E1,1.675819500E1,4.668796227E2,7.418176651E0,5.056999969E1,2.500000000E0,1.689999962E1
1.436814928E2,4.079287667E1,1.675826000E1,4.682796966E2,7.781570435E0,4.383000183E1,2.400000095E0,1.689999962E1
1.446814928E2,4.079294000E1,1.675832333E1,4.690797614E2,8.365265846E0,3.929000092E1,2.299999952E0,1.710000038E1
1.456814928E2,4.079300833E1,1.675839000E1,4.695798261E2,8.224746704E0,4.081999969E1,2.299999952E0,1.679999924E1
1.466814928E2,4.079307500E1,1.675845667E1,4.702798943E2,8.613361359E0,3.974000168E1,2.200000048E0,1.710000038E1
1.476814928E2,4.079315000E1,1.675851667E1,4.707799229E2,9.169775963E0,3.765999985E1,2.400000095E0,1.710000038E1
1.486814928E2,4.079322333E1,1.675857833E1,4.710799604E2,9.741118431E0,3.515999985E1,2.500000000E0,1.729999924E1
1.496814928E2,4.079329500E1,1.675865333E1,4.719800446E2,9.941345215E0,3.443999863E1,2.599999905E0,1.739999962E1
