"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.929446470E-1,-1.031249948E-2,-1.099999994E-3,-2.186249942E-2
3.954508010E-1,-2.007500082E-2,1.374999993E-3,-3.574999981E-3
3.979581070E-1,-2.488750033E-2,7.424999960E-3,1.237499993E-2
4.004658030E-1,-2.254999988E-2,7.424999960E-3,2.461249940E-2
4.029729590E-1,-1.031249948E-2,1.374999993E-4,3.066249937E-2
4.054791130E-1,-5.499999970E-4,-8.387500420E-3,2.708750032E-2
4.079861880E-1,1.292499993E-2,-1.691249944E-2,2.089999989E-2
4.104941310E-1,1.897500083E-2,-1.567500085E-2,8.662499487E-3
4.130012100E-1,2.268750034E-2,-8.387500420E-3,-1.099999994E-3
4.155074400E-1,1.526249945E-2,1.374999993E-4,-9.624999948E-3
4.180144380E-1,1.924999990E-3,1.484999992E-2,-1.814999990E-2
4.205222080E-1,-7.837500423E-3,2.089999989E-2,-2.543750033E-2
4.230292720E-1,-1.402499992E-2,1.484999992E-2,-3.038750030E-2
4.255356560E-1,-2.007500082E-2,1.374999993E-4,-2.543750033E-2
4.280427310E-1,-2.131249942E-2,-1.099999994E-3,-1.567500085E-2
4.305505050E-1,-2.007500082E-2,-2.337499987E-3,2.612499986E-3
4.330575840E-1,-1.278750040E-2,2.612499986E-3,1.608750038E-2
4.355637380E-1,6.874999963E-4,1.374999993E-3,2.584999986E-2
4.380708130E-1,1.526249945E-2,-7.149999961E-3,2.942499891E-2
4.405787360E-1,2.749999985E-2,-2.186249942E-2,2.337500080E-2
4.430858150E-1,3.478749841E-2,-3.038750030E-2,1.966249943E-2
4.455919690E-1,3.602499887E-2,-2.186249942E-2,9.899999946E-3
4.480990440E-1,2.626249939E-2,-4.674999975E-3,1.374999993E-4
4.506070440E-1,1.292499993E-2,8.662499487E-3,-1.086249948E-2
4.531138920E-1,-3.024999984E-3,1.732499897E-2,-2.062499896E-2
4.556202770E-1,-1.773750037E-2,2.089999989E-2,-2.667500079E-2
4.581271210E-1,-2.749999985E-2,1.361249946E-2,-3.038750030E-2
4.606351210E-1,-3.478749841E-2,5.087499972E-3,-2.543750033E-2
4.631421230E-1,-3.602499887E-2,1.374999993E-3,-1.209999993E-2
4.656483540E-1,-3.355000168E-2,7.424999960E-3,6.324999966E-3
4.681554290E-1,-2.254999988E-2,7.424999960E-3,2.213750035E-2
4.706633520E-1,-1.787499990E-3,-1.099999994E-3,2.942499891E-2
4.731704500E-1,1.649999991E-2,-1.209999993E-2,3.066249937E-2
4.756766800E-1,3.244999796E-2,-2.433750033E-2,2.337500080E-2
4.781837550E-1,4.344999790E-2,-2.914999984E-2,1.732499897E-2
4.806916780E-1,4.344999790E-2,-1.814999990E-2,3.849999979E-3
4.831985320E-1,3.368749842E-2,-1.099999994E-3,-4.674999975E-3
4.857049160E-1,1.897500083E-2,1.113750041E-2,-1.443750039E-2
4.882119910E-1,6.874999963E-4,1.484999992E-2,-2.543750033E-2
4.907197600E-1,-1.402499992E-2,1.113750041E-2,-3.162499890E-2
4.932268440E-1,-2.749999985E-2,7.424999960E-3,-3.038750030E-2
4.957329980E-1,-3.478749841E-2,6.324999966E-3,-2.062499896E-2
4.982400730E-1,-4.083750024E-2,1.113750041E-2,-2.337499987E-3
5.007479960E-1,-3.849999979E-2,1.361249946E-2,1.361249946E-2
5.032550750E-1,-2.749999985E-2,5.087499972E-3,2.461249940E-2
5.057613060E-1,-7.837500423E-3,-2.337499987E-3,2.942499891E-2
5.082683040E-1,1.168750040E-2,-1.567500085E-2,2.708750032E-2
5.107763040E-1,2.873750031E-2,-2.186249942E-2,1.856249943E-2
5.132831600E-1,3.849999979E-2,-1.814999990E-2,9.899999946E-3
5.157895450E-1,3.973750025E-2,-7.149999961E-3,1.374999993E-4
5.182966200E-1,2.997500077E-2,1.374999993E-4,-9.624999948E-3
5.208043890E-1,1.526249945E-2,5.087499972E-3,-1.691249944E-2
5.233114830E-1,6.874999963E-4,1.113750041E-2,-2.543750033E-2
5.258176370E-1,-1.031249948E-2,8.662499487E-3,-2.667500079E-2
5.283247110E-1,-1.883750036E-2,6.324999966E-3,-2.309999987E-2
5.308326350E-1,-2.378750034E-2,5.087499972E-3,-1.086249948E-2
5.333397140E-1,-2.749999985E-2,7.424999960E-3,2.612499986E-3
5.358459440E-1,-2.254999988E-2,3.849999979E-3,1.608750038E-2
5.383530190E-1,-1.154999994E-2,-1.099999994E-3,2.461249940E-2
5.408609420E-1,3.024999984E-3,-7.149999961E-3,2.584999986E-2
5.433680210E-1,1.526249945E-2,-1.567500085E-2,2.461249940E-2
