"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.171704642E0,4.210500121E-1,9.202950478E0,2.755050182E0
6.174211645E0,2.509500086E-1,9.120000839E0,2.626050234E0
6.176719645E0,2.895000204E-2,9.130949974E0,2.377050161E0
6.179226724E0,-1.789500117E-1,9.310950279E0,2.311950207E0
6.181732878E0,-3.559500277E-1,9.373050690E0,2.419950008E0
6.184239953E0,-4.879500270E-1,9.289950371E0,2.596950054E0
6.186747722E0,-4.680000246E-1,9.309000015E0,2.928000212E0
6.189254801E0,-3.390000165E-1,9.517050743E0,3.189000130E0
6.191761185E0,-1.840500087E-1,9.664950371E0,3.205050230E0
6.194268260E0,4.305000231E-2,9.739950180E0,3.106950045E0
6.196776030E0,2.539499998E-1,9.723000526E0,2.916000128E0
6.199283094E0,3.919500113E-1,9.562050819E0,2.758050203E0
6.201789247E0,4.740000367E-1,9.342000008E0,2.788950205E0
6.204296322E0,4.930500090E-1,9.154950142E0,2.788950205E0
6.206804245E0,4.020000100E-1,9.055050850E0,2.703000069E0
6.209311319E0,2.110500038E-1,9.072000504E0,2.509050131E0
6.211817550E0,-3.495000303E-2,9.166950226E0,2.278950214E0
6.214324625E0,-2.100000083E-1,9.334950447E0,2.253000021E0
6.216832548E0,-3.919500113E-1,9.430950165E0,2.518050194E0
6.219339627E0,-4.800000191E-1,9.345000267E0,2.803050041E0
6.221845781E0,-4.489500225E-1,9.397050858E0,3.019050121E0
6.224352880E0,-2.770500183E-1,9.630000114E0,3.177000046E0
6.226860649E0,-1.020000055E-1,9.778050423E0,3.214950085E0
6.229367723E0,9.600000083E-2,9.775950432E0,3.121950150E0
6.231874108E0,2.610000074E-1,9.661050797E0,2.892000198E0
6.234381183E0,3.640500307E-1,9.529050827E0,2.839050055E0
6.236888952E0,4.189500213E-1,9.354000092E0,2.875050068E0
6.239396026E0,3.880500197E-1,9.154950142E0,2.836950064E0
6.241902410E0,2.539499998E-1,9.049950600E0,2.679000139E0
6.244409255E0,5.700000376E-2,9.108000755E0,2.478000164E0
6.246917241E0,-1.240500063E-1,9.270000458E0,2.341050148E0
6.249424319E0,-2.939999998E-1,9.397050858E0,2.406000137E0
6.251930473E0,-4.519500136E-1,9.373050690E0,2.554050207E0
6.254437548E0,-4.300500154E-1,9.366000175E0,2.865000248E0
6.256945471E0,-3.300000131E-1,9.514950752E0,3.118950129E0
6.259452550E0,-1.759500057E-1,9.685050011E0,3.138000250E0
6.261958704E0,0.000000000E0,9.771000862E0,3.057000160E0
6.264465779E0,2.059500068E-1,9.727950096E0,2.913000107E0
6.266973548E0,3.589500189E-1,9.546000481E0,2.784000158E0
6.269480627E0,4.330500066E-1,9.361050606E0,2.760000229E0
