"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.511132191E2,4.079522833E1,1.676796333E1,4.596058024E2,8.972638130E0,2.372700043E2,1.899999976E0,8.699999809E0
1.521132191E2,4.079518333E1,1.676786667E1,4.590055895E2,9.188306808E0,2.368800049E2,1.899999976E0,8.800000191E0
1.531132191E2,4.079514333E1,1.676777000E1,4.585053657E2,9.153305054E0,2.364900055E2,1.899999976E0,8.899999619E0
1.541132191E2,4.079509667E1,1.676767000E1,4.582051457E2,9.180070877E0,2.359400024E2,2.000000000E0,9.199999809E0
1.551132191E2,4.079504833E1,1.676757833E1,4.580049562E2,9.178526878E0,2.322100067E2,1.899999976E0,9.100000381E0
1.561132191E2,4.079499667E1,1.676750333E1,4.575048278E2,9.290221214E0,2.212100067E2,1.799999952E0,9.199999809E0
1.571132191E2,4.079493000E1,1.676744000E1,4.569047698E2,9.274265289E0,2.131900024E2,1.799999952E0,9.000000000E0
1.581132191E2,4.079486333E1,1.676738500E1,4.564047387E2,9.395224571E0,2.101799927E2,1.799999952E0,8.699999809E0
1.591132191E2,4.079479000E1,1.676734000E1,4.564047545E2,9.266029358E0,2.078999939E2,1.799999952E0,8.800000191E0
1.601132191E2,4.079471500E1,1.676729333E1,4.553047685E2,9.269117355E0,2.055899963E2,1.899999976E0,8.399999619E0
1.611132191E2,4.079464167E1,1.676724500E1,4.551047735E2,9.183673859E0,1.999400024E2,1.899999976E0,8.600000381E0
1.621132191E2,4.079456000E1,1.676722000E1,4.551048720E2,9.199630737E0,1.949400024E2,1.899999976E0,8.899999619E0
1.631132191E2,4.079447667E1,1.676720333E1,4.553050010E2,9.071464539E0,1.898800049E2,1.899999976E0,9.000000000E0
1.641132191E2,4.079439500E1,1.676719333E1,4.554051478E2,8.461518288E0,1.857100067E2,1.899999976E0,8.699999809E0
1.651132191E2,4.079432000E1,1.676718667E1,4.550052908E2,7.638477802E0,1.805599976E2,1.799999952E0,8.500000000E0
1.661132191E2,4.079425500E1,1.676718833E1,4.545054387E2,7.197875500E0,1.778500061E2,1.899999976E0,8.500000000E0
1.671132191E2,4.079418333E1,1.676719500E1,4.545056173E2,7.390896320E0,1.739600067E2,1.799999952E0,8.500000000E0
1.681132191E2,4.079411500E1,1.676720833E1,4.549058101E2,7.588549614E0,1.734799957E2,1.799999952E0,8.300000191E0
1.691132191E2,4.079405000E1,1.676721833E1,4.556059848E2,7.557666302E0,1.743999939E2,1.799999952E0,8.500000000E0
1.701132191E2,4.079398667E1,1.676723000E1,4.554061613E2,7.150521278E0,1.726399994E2,1.799999952E0,8.699999809E0
1.711132191E2,4.079392000E1,1.676724000E1,4.554063396E2,7.572593212E0,1.721799927E2,1.799999952E0,8.399999619E0
1.721132191E2,4.079385000E1,1.676725167E1,4.556065307E2,7.810909748E0,1.735000000E2,1.799999952E0,8.399999619E0
1.731132191E2,4.079378000E1,1.676725833E1,4.554067057E2,7.957090855E0,1.799600067E2,1.799999952E0,8.699999809E0
1.741132191E2,4.079371000E1,1.676725667E1,4.563068538E2,7.977165222E0,1.846100006E2,1.899999976E0,8.899999619E0
1.751132191E2,4.079363833E1,1.676724833E1,4.569069840E2,7.987459660E0,1.856699982E2,1.899999976E0,9.100000381E0
1.761132191E2,4.079356500E1,1.676724000E1,4.574071180E2,8.153715134E0,1.854700012E2,2.000000000E0,9.199999809E0
1.771132191E2,4.079349167E1,1.676723167E1,4.576072519E2,8.244820595E0,1.861300049E2,1.899999976E0,9.199999809E0
1.781132191E2,4.079342167E1,1.676721667E1,4.577073571E2,8.453797340E0,1.871499939E2,1.899999976E0,8.899999619E0
1.791132191E2,4.079334167E1,1.676720667E1,4.580075002E2,8.734321594E0,1.878699951E2,1.899999976E0,9.000000000E0
1.801132191E2,4.079326500E1,1.676719667E1,4.586076361E2,8.760057449E0,1.870200043E2,1.899999976E0,8.699999809E0
1.811132191E2,4.079318500E1,1.676719167E1,4.597077954E2,9.084332466E0,1.873099976E2,2.000000000E0,8.899999619E0
1.821132191E2,4.079310333E1,1.676717833E1,4.608079315E2,9.121907234E0,1.868999939E2,2.000000000E0,9.000000000E0
1.831132191E2,4.079302167E1,1.676717167E1,4.615080891E2,9.289192200E0,1.883300018E2,2.000000000E0,9.100000381E0
1.841132191E2,4.079293667E1,1.676715833E1,4.624082325E2,9.320590019E0,1.882200012E2,2.000000000E0,9.100000381E0
1.851132191E2,4.079285000E1,1.676713833E1,4.627083581E2,9.515669823E0,1.881499939E2,2.000000000E0,8.800000191E0
