"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.995634620E-1,1.669500023E-1,1.018305016E1,1.161000013E0
5.020701530E-1,3.299999982E-2,1.008195019E1,1.000050068E0
5.045775370E-1,-6.105000153E-2,9.697050095E0,8.449500203E-1
5.070840780E-1,-1.260000020E-1,9.376049995E0,7.560000420E-1
5.095898470E-1,-1.090500057E-1,9.265950203E0,9.310500622E-1
5.120963880E-1,-5.895000324E-2,9.415950775E0,1.350000024E0
5.146037730E-1,6.195000187E-2,9.759000778E0,1.905000091E0
5.171102370E-1,1.819500029E-1,1.007700062E1,2.371950150E0
5.196160110E-1,2.509500086E-1,1.014195061E1,2.514000177E0
5.221225470E-1,2.730000019E-1,9.880950928E0,2.370000124E0
5.246299320E-1,2.899500132E-1,9.415950775E0,1.924950123E0
5.271366260E-1,2.560500205E-1,9.048000336E0,1.465050101E0
5.296422560E-1,1.939500123E-1,9.097949982E0,1.197000027E0
5.321489460E-1,1.360500008E-1,9.448050499E0,1.189050078E0
5.346563310E-1,1.290000081E-1,9.922050476E0,1.234950066E0
5.371627940E-1,1.270500124E-1,1.022295094E1,1.249050021E0
5.396686070E-1,3.795000166E-2,1.017795086E1,1.087050080E0
5.421750670E-1,-3.495000303E-2,9.856950760E0,8.850000501E-1
5.446824510E-1,-8.505000174E-2,9.546000481E0,6.559500098E-1
5.471889150E-1,-1.279500127E-1,9.330000877E0,7.150500417E-1
5.496947650E-1,-3.495000303E-2,9.306000710E0,1.218000054E0
5.522012250E-1,4.800000042E-2,9.637050629E0,1.884000063E0
5.547086860E-1,1.960500032E-1,1.004100037E1,2.470050097E0
5.572151500E-1,3.709500134E-1,1.022295094E1,2.478000164E0
5.597209820E-1,3.780000210E-1,1.004895020E1,2.418000221E0
5.622274420E-1,3.660000265E-1,9.409049988E0,1.956000090E0
5.647348260E-1,2.899500132E-1,8.847000122E0,1.362000108E0
5.672412900E-1,1.530000120E-1,8.902050018E0,1.222950101E0
5.697471450E-1,1.750500053E-1,9.364050865E0,1.252050042E0
5.722538350E-1,1.650000066E-1,9.960000038E0,1.387950063E0
5.747612200E-1,1.339500099E-1,1.026195049E1,1.318950057E0
5.772676830E-1,8.595000207E-2,1.013205051E1,9.930000305E-1
5.797735440E-1,1.395000052E-2,9.739950180E0,7.390500307E-1
5.822800040E-1,-8.295000345E-2,9.352050781E0,5.910000205E-1
5.847873890E-1,-9.300000221E-2,9.217950821E0,7.699500322E-1
5.872939290E-1,-4.905000329E-2,9.321000099E0,1.206000090E0
5.897997120E-1,2.595000155E-2,9.675000191E0,1.845000029E0
5.923061720E-1,1.750500053E-1,1.002195072E1,2.335950136E0
5.948135570E-1,2.490000129E-1,1.018995094E1,2.557050228E0
5.973200970E-1,2.820000052E-1,1.003395081E1,2.454000235E0
5.998258760E-1,2.610000074E-1,9.613050461E0,2.113950014E0
6.023324130E-1,2.460000068E-1,9.145950317E0,1.675950050E0
6.048397970E-1,1.819500029E-1,8.983050346E0,1.333050013E0
6.073464920E-1,1.510500014E-1,9.256050110E0,1.182000041E0
6.098521270E-1,1.789500117E-1,9.816000938E0,1.230000019E0
6.123588170E-1,2.010000050E-1,1.027605057E1,1.254000068E0
6.148662020E-1,1.390500069E-1,1.036905003E1,1.161000013E0
6.173727420E-1,2.100000158E-2,1.005600071E1,9.670500755E-1
6.198784980E-1,-6.105000153E-2,9.579000473E0,7.489500642E-1
6.223850340E-1,-8.805000782E-2,9.250950813E0,7.369500399E-1
6.248924190E-1,-8.295000345E-2,9.261000633E0,9.600000381E-1
6.273988820E-1,4.095000029E-2,9.558000565E0,1.495950103E0
6.299046560E-1,1.309500039E-1,9.976950645E0,2.098950148E0
6.324111920E-1,2.059500068E-1,1.019700050E1,2.427000046E0
6.349185770E-1,2.419500053E-1,1.003695011E1,2.482050180E0
6.374250400E-1,2.419500053E-1,9.582000732E0,2.110949993E0
6.399308860E-1,2.250000089E-1,9.072000504E0,1.579950094E0
6.424373460E-1,1.840500087E-1,8.854050636E0,1.213050008E0
6.449447300E-1,1.530000120E-1,9.127050400E0,1.141950011E0
6.474514250E-1,1.650000066E-1,9.646050453E0,1.291950107E0
6.499572710E-1,1.600500047E-1,1.008900070E1,1.407000065E0
6.524637410E-1,9.105000645E-2,1.020195007E1,1.249050021E0
6.549711250E-1,2.400000021E-2,9.936000824E0,9.330000281E-1
6.574775890E-1,-4.695000127E-2,9.505050659E0,7.180500627E-1
6.599834350E-1,-1.000500023E-1,9.226950645E0,7.060500383E-1
6.624899130E-1,-9.000000358E-2,9.213000298E0,1.066950083E0
6.649972980E-1,-4.050000105E-3,9.523950577E0,1.588950038E0
6.675038380E-1,1.270500124E-1,9.912000656E0,2.161950111E0
6.700096080E-1,2.179500163E-1,1.018305016E1,2.502000093E0
6.725161390E-1,2.939999998E-1,1.011300087E1,2.463000059E0
6.750235240E-1,2.749500275E-1,9.748950005E0,2.238000154E0
6.775299870E-1,2.700000107E-1,9.238950729E0,1.807050109E0
6.800358340E-1,2.340000123E-1,8.997000694E0,1.369050026E0
6.825423030E-1,1.750500053E-1,9.164999962E0,1.198950052E0
6.850496880E-1,1.600500047E-1,9.601050377E0,1.245000005E0
6.875563820E-1,1.339500099E-1,1.009905052E1,1.357050061E0
6.900619970E-1,9.795000404E-2,1.030200005E1,1.266000032E0
6.925686830E-1,-1.950000064E-3,1.012005043E1,1.033950090E0
6.950760670E-1,-7.095000148E-2,9.679950714E0,7.939500213E-1
6.975826080E-1,-1.380000114E-1,9.321000099E0,6.700500250E-1
7.000883770E-1,-1.549500078E-1,9.148050308E0,8.569500446E-1
7.025949420E-1,-1.090500057E-1,9.322950363E0,1.362000108E0
7.051022500E-1,0.000000000E0,9.732000351E0,2.037000179E0
7.076087910E-1,1.290000081E-1,1.011600018E1,2.461050034E0
7.101145600E-1,1.939500123E-1,1.017105007E1,2.523000002E0
7.126211150E-1,2.440500110E-1,9.843000412E0,2.262000084E0
7.151285000E-1,2.460000068E-1,9.286950111E0,1.813950062E0
7.176351940E-1,2.269500047E-1,8.941950798E0,1.383000016E0
7.201408100E-1,2.110500038E-1,9.001950264E0,1.137000084E0
7.226475000E-1,2.010000050E-1,9.436050415E0,1.165950060E0
7.251548850E-1,2.269500047E-1,9.996000290E0,1.264050007E0
7.276613480E-1,1.789500117E-1,1.024695015E1,1.201050043E0
7.301669640E-1,7.200000435E-2,1.007205009E1,1.003050089E0
7.326736450E-1,-2.805000171E-2,9.658050537E0,8.400000334E-1
7.351810290E-1,-1.000500023E-1,9.298950195E0,7.819500566E-1
7.376875700E-1,-1.090500057E-1,9.211050034E0,9.550500512E-1
7.401933390E-1,-6.900000572E-2,9.397050858E0,1.387950063E0
7.426998760E-1,4.800000042E-2,9.778050423E0,1.936050057E0
7.452072600E-1,1.840500087E-1,1.011300087E1,2.431950092E0
7.477137240E-1,2.110500038E-1,1.013205051E1,2.554050207E0
7.502195700E-1,2.269500047E-1,9.802050591E0,2.305050135E0
7.527260300E-1,2.200500071E-1,9.334950447E0,1.855050087E0
7.552334140E-1,2.110500038E-1,9.048000336E0,1.423950076E0
7.577401080E-1,2.010000050E-1,9.120000839E0,1.192050099E0
7.602457240E-1,1.669500023E-1,9.529050827E0,1.204050064E0
7.627524180E-1,1.770000011E-1,9.973950386E0,1.333050013E0
7.652598030E-1,1.150500029E-1,1.020705032E1,1.267950058E0
7.677662660E-1,4.095000029E-2,1.007505035E1,1.042950034E0
7.702721120E-1,-5.400000140E-2,9.754050255E0,7.750500441E-1
7.727785570E-1,-1.140000075E-1,9.495000839E0,7.300500274E-1
7.752859420E-1,-1.570500135E-1,9.406949997E0,9.070500135E-1
7.777924820E-1,-1.309500039E-1,9.481050491E0,1.309050083E0
7.802982510E-1,-4.005000368E-2,9.723000526E0,1.872000098E0
7.828048070E-1,9.300000221E-2,9.973950386E0,2.287950039E0
7.853121910E-1,1.870500147E-1,1.000995064E1,2.338950157E0
7.878186550E-1,2.539499998E-1,9.804000854E0,2.209050179E0
7.903245010E-1,2.700000107E-1,9.451950073E0,1.869000077E0
7.928309750E-1,2.800500095E-1,9.172050476E0,1.525050044E0
7.953383590E-1,2.460000068E-1,9.184050560E0,1.350000024E0
7.978450540E-1,2.250000089E-1,9.439949989E0,1.314000010E0
8.003506690E-1,2.220000178E-1,9.807000160E0,1.321050048E0
8.028573790E-1,1.789500117E-1,1.005600071E1,1.204050064E0
8.053647640E-1,1.290000081E-1,1.006305027E1,9.139500260E-1
8.078712270E-1,7.050000131E-3,9.844950676E0,7.630500197E-1
8.103770740E-1,-8.805000782E-2,9.594000816E0,7.780500650E-1
8.128835280E-1,-1.240500063E-1,9.442950249E0,9.499500394E-1
8.153909130E-1,-1.090500057E-1,9.438000679E0,1.282950044E0
8.178974530E-1,-3.000000119E-2,9.591000557E0,1.716000080E0
8.204032230E-1,1.150500029E-1,9.864000320E0,2.086950064E0
8.229097590E-1,2.179500163E-1,1.006305027E1,2.334000111E0
8.254171440E-1,2.899500132E-1,1.002705002E1,2.320050001E0
8.279238380E-1,3.040500283E-1,9.718050003E0,2.098950148E0
8.304294530E-1,2.629500031E-1,9.304050446E0,1.747050047E0
8.329361530E-1,2.509500086E-1,9.091050148E0,1.405050039E0
8.354433060E-1,2.220000178E-1,9.304050446E0,1.204050064E0
8.379500840E-1,2.130000144E-1,9.782999992E0,1.204050064E0
8.404568890E-1,1.600500047E-1,1.015605068E1,1.225050092E0
8.429622950E-1,5.505000427E-2,1.020405006E1,1.110000014E0
8.454696770E-1,-8.805000782E-2,9.943050385E0,9.450000525E-1
8.479762180E-1,-1.480500102E-1,9.577050209E0,7.920000553E-1
8.504819870E-1,-1.840500087E-1,9.342000008E0,8.160000443E-1
8.529884940E-1,-1.380000114E-1,9.400050163E0,1.087050080E0
8.554958790E-1,-5.205000192E-2,9.652950287E0,1.558050036E0
8.580023420E-1,9.300000221E-2,9.981000900E0,2.092050076E0
8.605081890E-1,2.220000178E-1,1.011105061E1,2.371950150E0
8.630146530E-1,3.180000186E-1,9.972000122E0,2.344050169E0
8.655220380E-1,3.660000265E-1,9.606000900E0,2.017950058E0
8.680287320E-1,3.690000176E-1,9.177000046E0,1.611000061E0
8.705343470E-1,3.420000076E-1,9.043050766E0,1.306950092E0
8.730410180E-1,2.749500275E-1,9.292050362E0,1.221000075E0
8.755484020E-1,2.680500150E-1,9.751950264E0,1.306950092E0
8.780548660E-1,2.220000178E-1,1.010805035E1,1.326000094E0
8.805607120E-1,1.480500102E-1,1.017105007E1,1.156050086E0
8.830671920E-1,1.395000052E-2,9.922050476E0,8.899500370E-1
8.855745760E-1,-9.000000358E-2,9.523950577E0,7.009500265E-1
8.880811170E-1,-1.380000114E-1,9.253950119E0,7.440000176E-1
8.905868860E-1,-1.120500043E-1,9.270000458E0,1.017000079E0
8.930934170E-1,-3.495000303E-2,9.550050735E0,1.567950130E0
8.956008020E-1,1.050000042E-1,9.916950226E0,2.133000135E0
8.981072660E-1,2.220000178E-1,1.018005085E1,2.475000143E0
