"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.441642541E1,-2.557500079E-2,1.259499937E-1,2.351249941E-2
2.442642541E1,-2.557500079E-2,1.259499937E-1,2.351249941E-2
2.443642541E1,3.561250120E-2,-1.024374962E-1,-3.877500072E-2
2.444642541E1,3.561250120E-2,-1.024374962E-1,-3.877500072E-2
2.445642541E1,-1.000999957E-1,-3.643750027E-2,-3.877500072E-2
2.446642541E1,-1.000999957E-1,-3.643750027E-2,-3.877500072E-2
2.447642541E1,-1.000999957E-1,-3.643750027E-2,-3.877500072E-2
2.448642541E1,-2.186249942E-2,-2.296249941E-2,3.808749840E-2
2.449642541E1,-3.409999982E-2,4.056249931E-2,1.498750038E-2
2.450642541E1,-9.033749998E-2,-8.043749630E-2,-1.567500085E-2
2.451642541E1,1.199000031E-1,8.332499862E-2,3.987499978E-3
2.452642541E1,1.199000031E-1,8.332499862E-2,3.987499978E-3
2.453642541E1,9.899999946E-3,8.813749999E-2,7.479999959E-2
2.454642541E1,-9.033749998E-2,-1.489125043E-1,-1.196249947E-2
2.455642541E1,5.871250108E-2,1.186624989E-1,1.979999989E-2
2.456642541E1,-1.099999994E-3,-1.146750003E-1,-4.743750021E-2
2.457642541E1,-1.099999994E-3,-1.146750003E-1,-4.743750021E-2
2.458642541E1,-4.138749838E-2,-9.748750180E-2,3.987499978E-3
2.459642541E1,-6.833750010E-2,7.342500240E-2,5.032499880E-2
2.460642541E1,7.218749821E-2,-3.162499890E-2,-5.843750015E-2
2.461642541E1,-4.881250113E-2,3.849999979E-3,2.832499892E-2
2.462642541E1,3.712499980E-3,4.166249931E-2,4.179999977E-2
2.463642541E1,-7.933750004E-2,-1.061500013E-1,2.474999987E-2
2.464642541E1,4.895000160E-2,1.003749967E-1,4.303750023E-2
2.465642541E1,4.895000160E-2,1.003749967E-1,4.303750023E-2
2.466642541E1,5.623750016E-2,9.061250091E-2,4.675000161E-2
2.467642541E1,-8.538749814E-2,-1.231999993E-1,1.003750041E-2
2.468642541E1,-8.538749814E-2,-1.231999993E-1,1.003750041E-2
2.469642541E1,-8.538749814E-2,-1.231999993E-1,1.003750041E-2
2.470642541E1,-8.538749814E-2,-1.231999993E-1,1.003750041E-2
2.471642541E1,-3.574999981E-3,-1.011999995E-1,2.749999985E-4
2.472642541E1,-1.036750004E-1,9.308750182E-2,6.379999965E-2
2.473642541E1,2.818750031E-2,-6.215000153E-2,-2.296249941E-2
2.474642541E1,2.818750031E-2,-6.215000153E-2,-2.296249941E-2
2.475642541E1,2.818750031E-2,-6.215000153E-2,-2.296249941E-2
