"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.452604730E-1,-3.753750026E-2,-4.001250118E-2,2.736249939E-2
6.477666030E-1,-7.012499962E-3,-2.653750032E-2,2.131249942E-2
6.502733710E-1,2.832499892E-2,3.987499978E-3,2.887499984E-3
6.527810580E-1,5.279999971E-2,3.093750030E-2,-1.416249946E-2
6.552880600E-1,5.527500063E-2,4.193750024E-2,-2.763750032E-2
6.577939830E-1,3.451250121E-2,2.351249941E-2,-2.763750032E-2
6.603007500E-1,2.749999985E-4,-4.537499975E-3,-1.168750040E-2
6.628084420E-1,-3.877500072E-2,-1.924999990E-2,1.031249948E-2
6.653154450E-1,-6.324999779E-2,-2.406249940E-2,2.859999985E-2
6.678213680E-1,-5.224999785E-2,-2.158750035E-2,2.859999985E-2
6.703281350E-1,-1.443750039E-2,-1.677500084E-2,1.388750039E-2
6.728358270E-1,2.474999987E-2,-7.012499962E-3,-8.112499490E-3
6.753425980E-1,3.932499886E-2,7.699999958E-3,-2.392499894E-2
6.778487610E-1,3.575000167E-2,2.722499892E-2,-2.887500077E-2
6.803555280E-1,2.227500081E-2,2.846249938E-2,-2.144999988E-2
6.828632210E-1,2.749999985E-3,1.498750038E-2,-1.924999990E-3
6.853699590E-1,-2.296249941E-2,-3.299999982E-3,1.759999990E-2
6.878760360E-1,-3.396249935E-2,-2.529999986E-2,3.231250122E-2
6.903828600E-1,-2.172499895E-2,-4.001250118E-2,2.859999985E-2
6.928905520E-1,5.224999972E-3,-3.135000169E-2,1.388750039E-2
6.953973280E-1,2.832499892E-2,-5.774999969E-3,-3.162499983E-3
6.979034050E-1,3.451250121E-2,2.846249938E-2,-2.021249942E-2
7.004102490E-1,2.956249937E-2,4.922499880E-2,-2.887500077E-2
7.029179410E-1,1.856249943E-2,3.698749840E-2,-2.763750032E-2
7.054247120E-1,-9.487500414E-3,5.224999972E-3,-1.168750040E-2
7.079307890E-1,-4.372499883E-2,-2.653750032E-2,1.031249948E-2
7.104376330E-1,-5.829999968E-2,-4.124999791E-2,2.488750033E-2
7.129452490E-1,-4.248749837E-2,-3.382499889E-2,2.736249939E-2
7.154520970E-1,-4.674999975E-3,-1.058750041E-2,1.512499992E-2
7.179581740E-1,3.575000167E-2,1.017499994E-2,-3.162499983E-3
7.204649220E-1,4.908749834E-2,2.846249938E-2,-1.911249943E-2
7.229726140E-1,4.908749834E-2,3.093750030E-2,-2.639999986E-2
7.254794770E-1,2.832499892E-2,1.127499994E-2,-1.663750038E-2
7.279855530E-1,-4.674999975E-3,-3.299999982E-3,5.499999970E-4
7.304923690E-1,-3.753750026E-2,-1.429999992E-2,2.131249942E-2
7.330000610E-1,-4.743750021E-2,-1.924999990E-2,2.859999985E-2
7.355069090E-1,-2.777500078E-2,-2.158750035E-2,2.131249942E-2
7.380129860E-1,6.324999966E-3,-1.306249946E-2,2.887499984E-3
7.405197530E-1,3.079999983E-2,1.512499992E-3,-1.663750038E-2
7.430274460E-1,3.451250121E-2,2.227500081E-2,-2.639999986E-2
7.455342130E-1,2.351249941E-2,3.451250121E-2,-2.763750032E-2
7.480403670E-1,6.324999966E-3,1.869999990E-2,-1.292499993E-2
7.505471340E-1,-1.443750039E-2,-8.249999955E-4,5.362499971E-3
7.530548260E-1,-3.519999981E-2,-2.158750035E-2,2.364999987E-2
7.555615980E-1,-3.519999981E-2,-3.629999980E-2,3.107500076E-2
7.580675210E-1,-1.443750039E-2,-3.506249934E-2,2.488750033E-2
7.605745190E-1,1.498750038E-2,-1.677500084E-2,1.031249948E-2
7.630822110E-1,3.575000167E-2,8.937500417E-3,-1.044999994E-2
7.655890590E-1,3.932499886E-2,4.193750024E-2,-2.516249940E-2
7.680949050E-1,3.079999983E-2,4.922499880E-2,-3.244999796E-2
7.706018880E-1,1.374999993E-2,2.474999987E-2,-2.392499894E-2
7.731095810E-1,-1.677500084E-2,-9.487500414E-3,-1.924999990E-3
7.756164290E-1,-5.101250112E-2,-3.258749843E-2,2.007500082E-2
7.781224870E-1,-5.829999968E-2,-4.001250118E-2,3.341250122E-2
7.806292540E-1,-3.024999984E-2,-3.135000169E-2,2.736249939E-2
7.831369310E-1,1.251249947E-2,-5.774999969E-3,1.154999994E-2
7.856437020E-1,4.551250115E-2,1.498750038E-2,-6.874999963E-3
7.881496070E-1,5.775000155E-2,3.217500076E-2,-2.144999988E-2
7.906566050E-1,4.908749834E-2,2.846249938E-2,-2.516249940E-2
7.931640660E-1,1.979999989E-2,1.017499994E-2,-1.787500083E-2
7.956710680E-1,-2.172499895E-2,-7.012499962E-3,4.124999978E-3
7.981769910E-1,-5.224999785E-2,-1.924999990E-2,2.007500082E-2
8.006839890E-1,-5.348749831E-2,-2.048750035E-2,2.241249941E-2
8.031916820E-1,-2.653750032E-2,-1.429999992E-2,1.512499992E-2
8.056984530E-1,1.003750041E-2,-9.487500414E-3,-1.924999990E-3
8.082043760E-1,3.079999983E-2,3.987499978E-3,-1.539999992E-2
8.107113740E-1,3.575000167E-2,1.993750036E-2,-2.639999986E-2
8.132190950E-1,2.598750032E-2,2.474999987E-2,-1.911249943E-2
8.157258660E-1,1.127499994E-2,1.251249947E-2,-3.162499983E-3
8.182317890E-1,-1.072499994E-2,-4.537499975E-3,1.636249945E-2
8.207388010E-1,-3.148749843E-2,-1.924999990E-2,2.983750030E-2
8.232462630E-1,-3.024999984E-2,-3.506249934E-2,2.736249939E-2
8.257532700E-1,-8.249999955E-3,-3.135000169E-2,1.759999990E-2
8.282591930E-1,1.856249943E-2,-7.012499962E-3,-4.399999976E-3
8.307661620E-1,3.698749840E-2,2.598750032E-2,-2.144999988E-2
8.332736240E-1,4.056249931E-2,4.922499880E-2,-3.492499888E-2
8.357806260E-1,3.203750029E-2,4.303750023E-2,-3.368749842E-2
8.382865490E-1,5.224999972E-3,1.251249947E-2,-1.539999992E-2
8.407933160E-1,-3.148749843E-2,-2.048750035E-2,7.837500423E-3
8.433010080E-1,-5.953750014E-2,-4.235000163E-2,3.231250122E-2
8.458080100E-1,-5.829999968E-2,-4.729999974E-2,3.588749841E-2
8.483139330E-1,-2.419999987E-2,-2.653750032E-2,2.488750033E-2
8.508207010E-1,2.227500081E-2,-2.062499989E-3,6.599999964E-3
8.533283930E-1,5.279999971E-2,2.474999987E-2,-1.539999992E-2
8.558354000E-1,5.884999782E-2,3.946249932E-2,-2.763750032E-2
8.583413230E-1,4.427500069E-2,3.093750030E-2,-3.011249937E-2
8.608480950E-1,1.251249947E-2,8.937500417E-3,-1.663750038E-2
8.633557880E-1,-3.396249935E-2,-1.058750041E-2,4.124999978E-3
8.658625590E-1,-5.953750014E-2,-2.406249940E-2,2.131249942E-2
8.683687130E-1,-5.348749831E-2,-2.653750032E-2,2.612499893E-2
8.708754800E-1,-1.924999990E-2,-1.677500084E-2,1.512499992E-2
8.733832050E-1,1.979999989E-2,-8.249999955E-3,5.499999970E-4
8.758899760E-1,4.303750023E-2,8.937500417E-3,-1.663750038E-2
8.783960530E-1,4.908749834E-2,2.474999987E-2,-2.516249940E-2
8.809028980E-1,3.808749840E-2,2.598750032E-2,-2.144999988E-2
8.834105900E-1,1.003750041E-2,1.498750038E-2,-9.349999949E-3
8.859173610E-1,-2.543750033E-2,-4.537499975E-3,1.154999994E-2
8.884234380E-1,-4.743750021E-2,-2.406249940E-2,2.488750033E-2
8.909302820E-1,-4.248749837E-2,-3.506249934E-2,2.736249939E-2
8.934379750E-1,-1.801249944E-2,-2.529999986E-2,1.264999993E-2
8.959447460E-1,1.498750038E-2,-7.012499962E-3,-6.874999963E-3
8.984508230E-1,3.203750029E-2,2.227500081E-2,-2.268750034E-2
9.009576530E-1,3.808749840E-2,4.427500069E-2,-3.368749842E-2
9.034652680E-1,3.079999983E-2,3.698749840E-2,-2.763750032E-2
9.059720970E-1,7.562499959E-3,7.699999958E-3,-8.112499490E-3
9.084781740E-1,-2.419999987E-2,-1.924999990E-2,1.636249945E-2
9.109850180E-1,-4.743750021E-2,-4.235000163E-2,3.231250122E-2
9.134926340E-1,-4.248749837E-2,-4.358749837E-2,3.231250122E-2
9.159994820E-1,-9.487500414E-3,-2.282499894E-2,2.131249942E-2
9.185055590E-1,2.832499892E-2,1.017499994E-2,-1.924999990E-3
9.210123300E-1,5.527500063E-2,3.822499886E-2,-2.144999988E-2
9.235200230E-1,5.775000155E-2,4.317500070E-2,-3.616249934E-2
9.260268710E-1,3.698749840E-2,2.598750032E-2,-3.244999796E-2
9.285329200E-1,-2.199999988E-3,-2.062499989E-3,-1.787500083E-2
9.310396870E-1,-4.619999975E-2,-1.924999990E-2,7.837500423E-3
9.335473790E-1,-6.929999590E-2,-2.901249938E-2,3.107500076E-2
